normalized_phrase	phrase	course	lesson
вернуть когда?	вернуть когда?	course_long_4	Аренда
шлем	шлем	course_long_4	Безопасность
два шлема	два шлема	course_long_4	Безопасность
осторожно	осторожно	course_long_4	Безопасность
зеркало работает?	зеркало работает?	course_long_4	Безопасность
другой байк	другой байк	course_long_4	Безопасность
страховка есть?	страховка есть?	course_long_4	Страховка
что покрывает?	что покрывает?	course_long_4	Страховка
дтп	ДТП	course_long_4	Страховка
ущерб кому?	ущерб кому?	course_long_4	Страховка
оформить можно?	оформить можно?	course_long_4	Страховка
прямо	прямо	course_long_4	Маршрут
остановка	остановка	course_long_4	Маршрут
сколько до …?	сколько до …?	course_long_4	Маршрут
здесь выйти	здесь выйти	course_long_4	Маршрут
спасибо	спасибо	course_long_4	Маршрут
полный бак	полный бак	course_long_4	Возврат
ключи вот	ключи вот	course_long_4	Возврат
документы вот	документы вот	course_long_4	Возврат
всё готово	всё готово	course_long_4	Возврат
спасибо	спасибо	course_long_4	Возврат
после десяти	после десяти	course_long_5	Шум
громко	громко	course_long_5	Шум
стены тонкие	стены тонкие	course_long_5	Шум
можно тише?	можно тише?	course_long_5	Шум
спасибо	спасибо	course_long_5	Шум
можно?	можно?	course_long_5	Правила
нельзя?	нельзя?	course_long_5	Правила
правило какое?	правило какое?	course_long_5	Правила
штраф есть?	штраф есть?	course_long_5	Правила
где правила?	где правила?	course_long_5	Правила
бассейн до скольки?	бассейн до скольки?	course_long_5	Общие зоны
парковка где?	парковка где?	course_long_5	Общие зоны
лифт	лифт	course_long_5	Общие зоны
мусор куда?	мусор куда?	course_long_5	Общие зоны
спасибо	спасибо	course_long_5	Общие зоны
condo chat	condo chat	course_long_5	Management
офис где?	офис где?	course_long_5	Management
позвонить в офис	позвонить в офис	course_long_5	Management
камера есть?	камера есть?	course_long_5	Management
помогите	помогите	course_long_5	Management
собрание когда?	собрание когда?	course_long_5	Собрание
завтра в десять?	завтра в десять?	course_long_5	Собрание
о чём?	о чём?	course_long_5	Собрание
участвовать можно?	участвовать можно?	course_long_5	Собрание
протокол можно?	протокол можно?	course_long_5	Собрание
снизу жалуются	снизу жалуются	course_long_5	Конфликт
давайте спокойно	давайте спокойно	course_long_5	Конфликт
решим мирно	решим мирно	course_long_5	Конфликт
понял	понял	course_long_5	Конфликт
вопрос решён	вопрос решён	course_long_5	Конфликт
ветклиника где?	ветклиника где?	course_long_6	Ветеринар
первый визит	первый визит	course_long_6	Ветеринар
собака или кошка?	собака или кошка?	course_long_6	Ветеринар
возраст	возраст	course_long_6	Ветеринар
порода	порода	course_long_6	Ветеринар
справка	справка	course_long_6	Документы
прививка	прививка	course_long_6	Документы
следующая прививка когда?	следующая прививка когда?	course_long_6	Документы
для выезда	для выезда	course_long_6	Документы
чип	чип	course_long_6	Документы
температура	температура	course_long_6	Симптомы
не ест	не ест	course_long_6	Симптомы
рвота	рвота	course_long_6	Симптомы
блохи	блохи	course_long_6	Симптомы
что делать?	что делать?	course_long_6	Симптомы
груминг где?	груминг где?	course_long_6	Груминг
записаться можно?	записаться можно?	course_long_6	Груминг
мытьё	мытьё	course_long_6	Груминг
когти	когти	course_long_6	Груминг
уши	уши	course_long_6	Груминг
с собакой можно?	с собакой можно?	course_long_6	Pet-friendly
с кошкой можно?	с кошкой можно?	course_long_6	Pet-friendly
пляж можно?	пляж можно?	course_long_6	Pet-friendly
переноска	переноска	course_long_6	Pet-friendly
отель можно?	отель можно?	course_long_6	Pet-friendly
с питомцем можно?	с питомцем можно?	course_long_6	Перелёт
клетка	клетка	course_long_6	Перелёт
справка нужна?	справка нужна?	course_long_6	Перелёт
куда идти?	куда идти?	course_long_6	Перелёт
спасибо	спасибо	course_long_6	Перелёт
смешно	смешно	course_long_7	Реакция
очень смешно	очень смешно	course_long_7	Реакция
правда?	правда?	course_long_7	Реакция
серьёзно?	серьёзно?	course_long_7	Реакция
ладно	ладно	course_long_7	Реакция
555	555	course_long_7	Чат
ага	ага	course_long_7	Чат
точно	точно	course_long_7	Чат
кайф	кайф	course_long_7	Чат
понял	понял	course_long_7	Чат
это шутка?	это шутка?	course_long_7	Контекст
что значит?	что значит?	course_long_7	Контекст
из какого сериала?	из какого сериала?	course_long_7	Контекст
видел	видел	course_long_7	Контекст
не видел	не видел	course_long_7	Контекст
шучу	шучу	course_long_7	Подкол
не обижайся	не обижайся	course_long_7	Подкол
просто шутка	просто шутка	course_long_7	Подкол
правда?	правда?	course_long_7	Подкол
всё хорошо	всё хорошо	course_long_7	Подкол
тикток?	тикток?	course_long_7	Поп-культура
сериал?	сериал?	course_long_7	Поп-культура
песня?	песня?	course_long_7	Поп-культура
челлендж	челлендж	course_long_7	Поп-культура
вирусное видео	вирусное видео	course_long_7	Поп-культура
не понял	не понял	course_long_7	Exit
потом объяснишь?	потом объяснишь?	course_long_7	Exit
ладно	ладно	course_long_7	Exit
спасибо	спасибо	course_long_7	Exit
до связи	до связи	course_long_7	Exit
мой день	мой день	course_s_1	Сторис
сегодня красиво	сегодня красиво	course_s_1	Сторис
здесь круто	здесь круто	course_s_1	Сторис
настроение ок	настроение ок	course_s_1	Сторис
смотрите	смотрите	course_s_1	Сторис
огонь	огонь	course_s_1	Reaction
классно	классно	course_s_1	Reaction
очень красиво	очень красиво	course_s_1	Reaction
спасибо	спасибо	course_s_1	Reaction
люблю	люблю	course_s_1	Reaction
здесь красиво	здесь красиво	course_s_1	Фото
хорошее фото	хорошее фото	course_s_1	Фото
свет хороший	свет хороший	course_s_1	Фото
вместе?	вместе?	course_s_1	Фото
готово	готово	course_s_1	Фото
спасибо	спасибо	course_s_1	Комментарии
отвечу позже	отвечу позже	course_s_1	Комментарии
что думаешь?	что думаешь?	course_s_1	Комментарии
точно	точно	course_s_1	Комментарии
напиши мне	напиши мне	course_s_1	Директ
отвечу позже	отвечу позже	course_s_1	Директ
спасибо за сообщение	спасибо за сообщение	course_s_1	Директ
можно уточнить?	можно уточнить?	course_s_1	Директ
до связи	до связи	course_s_1	Директ
сохранить	сохранить	course_s_1	Post
опубликовать	опубликовать	course_s_1	Post
подпись готова	подпись готова	course_s_1	Post
хэштег?	хэштег?	course_s_1	Post
готово	готово	course_s_1	Post
люблю музыку	люблю музыку	course_s_2	Интересы
люблю спорт	люблю спорт	course_s_2	Интересы
нравится танцевать	нравится танцевать	course_s_2	Интересы
моё хобби	моё хобби	course_s_2	Интересы
а ты?	а ты?	course_s_2	Интересы
где занятие?	где занятие?	course_s_2	Найти занятие
когда занятие?	когда занятие?	course_s_2	Найти занятие
расписание где?	расписание где?	course_s_2	Найти занятие
пробное есть?	пробное есть?	course_s_2	Найти занятие
сколько стоит?	сколько стоит?	course_s_2	Найти занятие
можно с вами?	можно с вами?	course_s_2	Присоединиться
я новичок	я новичок	course_s_2	Присоединиться
пойдём вместе?	пойдём вместе?	course_s_2	Присоединиться
ещё хобби?	ещё хобби?	course_s_2	Присоединиться
хорошо	хорошо	course_s_2	Присоединиться
сегодня	сегодня	course_s_2	Время
на выходных	на выходных	course_s_2	Время
через неделю	через неделю	course_s_2	Время
во сколько?	во сколько?	course_s_2	Время
до встречи	до встречи	course_s_2	Время
коврик нужен?	коврик нужен?	course_s_2	Снаряжение
взять коврик	взять коврик	course_s_2	Снаряжение
форма нужна?	форма нужна?	course_s_2	Снаряжение
вода есть?	вода есть?	course_s_2	Снаряжение
спасибо	спасибо	course_s_2	Снаряжение
тренер хороший?	тренер хороший?	course_s_2	Группа
записаться можно?	записаться можно?	course_s_2	Группа
вместе?	вместе?	course_s_2	Группа
как прогресс?	как прогресс?	course_s_2	Группа
до связи	до связи	course_s_2	Группа
серьёзно?	серьёзно?	course_s_3	Реакция
правда?	правда?	course_s_3	Реакция
реально?	реально?	course_s_3	Реакция
шутка?	шутка?	course_s_3	Реакция
понятно	понятно	course_s_3	Реакция
смешно	смешно	course_s_3	Юмор
не понял	не понял	course_s_3	Юмор
ещё раз	ещё раз	course_s_3	Юмор
ты шутишь?	ты шутишь?	course_s_3	Юмор
понял	понял	course_s_3	Юмор
ага	ага	course_s_3	Чат
точно	точно	course_s_3	Чат
да ладно	да ладно	course_s_3	Чат
жесть	жесть	course_s_3	Чат
хорошо	хорошо	course_s_3	Чат
что значит?	что значит?	course_s_3	Подтекст
ты серьёзно?	ты серьёзно?	course_s_3	Подтекст
это намёк?	это намёк?	course_s_3	Подтекст
понял	понял	course_s_3	Подтекст
не знаю	не знаю	course_s_3	Подтекст
смешно	смешно	course_s_3	Ответ
согласен	согласен	course_s_3	Ответ
не уверен	не уверен	course_s_3	Ответ
расскажи	расскажи	course_s_3	Ответ
спасибо	спасибо	course_s_3	Ответ
ладно	ладно	course_s_3	Exit
проехали	проехали	course_s_3	Exit
всё хорошо	всё хорошо	course_s_3	Exit
потом	потом	course_s_3	Exit
до связи	до связи	course_s_3	Exit
правила где?	правила где?	course_s_4	Правила
молчание?	молчание?	course_s_4	Правила
можно говорить?	можно говорить?	course_s_4	Правила
спасибо	спасибо	course_s_4	Правила
понятно	понятно	course_s_4	Правила
медитация когда?	медитация когда?	course_s_4	Расписание
утром	утром	course_s_4	Расписание
вечером	вечером	course_s_4	Расписание
свободное время	свободное время	course_s_4	Расписание
расписание где?	расписание где?	course_s_4	Расписание
практика где?	практика где?	course_s_4	Практика
участвовать можно?	участвовать можно?	course_s_4	Практика
дышать спокойно	дышать спокойно	course_s_4	Практика
готово	готово	course_s_4	Практика
спасибо	спасибо	course_s_4	Практика
храм где?	храм где?	course_s_4	Ориентиры
зал где?	зал где?	course_s_4	Ориентиры
сюда?	сюда?	course_s_4	Ориентиры
туда?	туда?	course_s_4	Ориентиры
спасибо	спасибо	course_s_4	Ориентиры
можно спросить?	можно спросить?	course_s_4	Монахи
вопрос можно?	вопрос можно?	course_s_4	Монахи
спасибо	спасибо	course_s_4	Монахи
извините	извините	course_s_4	Монахи
понятно	понятно	course_s_4	Монахи
всё понятно	всё понятно	course_s_4	Завершить
спасибо за учение	спасибо за учение	course_s_4	Завершить
до свидания	до свидания	course_s_4	Завершить
я пойду	я пойду	course_s_4	Завершить
хорошо	хорошо	course_s_4	Завершить
ты мне нравишься	ты мне нравишься	course_s_5	Симпатия
мило	мило	course_s_5	Симпатия
приятно с тобой	приятно с тобой	course_s_5	Симпатия
интересно	интересно	course_s_5	Симпатия
спасибо	спасибо	course_s_5	Симпатия
погуляем?	погуляем?	course_s_5	Приглашение
увидимся вечером?	увидимся вечером?	course_s_5	Приглашение
пойдём вместе?	пойдём вместе?	course_s_5	Приглашение
когда удобно?	когда удобно?	course_s_5	Приглашение
хорошо	хорошо	course_s_5	Приглашение
правда?	правда?	course_s_5	Намёк
серьёзно?	серьёзно?	course_s_5	Намёк
мне приятно	мне приятно	course_s_5	Намёк
посмотрим	посмотрим	course_s_5	Намёк
не знаю	не знаю	course_s_5	Намёк
не спеши	не спеши	course_s_5	Границы
мне нужно время	мне нужно время	course_s_5	Границы
стоп	стоп	course_s_5	Границы
не хочу	не хочу	course_s_5	Границы
давай спокойно	давай спокойно	course_s_5	Границы
мы вместе?	мы вместе?	course_s_5	Статус
ты свободен	ты свободен	course_s_5	Статус
свободна?	свободна?	course_s_5	Статус
что между нами?	что между нами?	course_s_5	Статус
понятно	понятно	course_s_5	Статус
хорошо	хорошо	course_s_5	Статус
спасибо за вечер	спасибо за вечер	course_s_5	Завершение
до встречи	до встречи	course_s_5	Завершение
я пойду	я пойду	course_s_5	Завершение
напиши мне	напиши мне	course_s_5	Завершение
пока	пока	course_s_5	Завершение
играть?	играть?	course_s_6	Игра
давай играть	давай играть	course_s_6	Игра
твоя очередь	твоя очередь	course_s_6	Игра
моя очередь	моя очередь	course_s_6	Игра
ещё раз	ещё раз	course_s_6	Игра
умница	умница	course_s_6	Похвала
молодец	молодец	course_s_6	Похвала
хорошо	хорошо	course_s_6	Похвала
очень хорошо	очень хорошо	course_s_6	Похвала
какой милый	какой милый	course_s_6	Похвала
осторожно	осторожно	course_s_6	Безопасность
стоп	стоп	course_s_6	Безопасность
не трогай	не трогай	course_s_6	Безопасность
держись за руку	держись за руку	course_s_6	Безопасность
всё хорошо	всё хорошо	course_s_6	Безопасность
ваш ребёнок	ваш ребёнок	course_s_6	Родители
можно?	можно?	course_s_6	Родители
она играет	она играет	course_s_6	Родители
спасибо	спасибо	course_s_6	Родители
извините	извините	course_s_6	Родители
вода	вода	course_s_6	Кафе/пляж
сюда нельзя	сюда нельзя	course_s_6	Кафе/пляж
жарко	жарко	course_s_6	Кафе/пляж
пойдём	пойдём	course_s_6	Кафе/пляж
готово	готово	course_s_6	Кафе/пляж
пора домой	пора домой	course_s_6	Завершить
пора спать	пора спать	course_s_6	Завершить
ещё пять минут	ещё пять минут	course_s_6	Завершить
всё	всё	course_s_6	Завершить
до свидания	до свидания	course_s_6	Завершить
